,Group,Designer,0
0,4,0,955
1,4,1,2474
2,4,2,1026
3,4,3,4958
4,4,4,3681
5,4,5,6
6,4,6,891
7,4,7,5
8,4,8,744
9,6,9,2110
10,4,10,2696
11,4,11,3681
12,4,12,2711
13,4,13,426
14,4,14,2820
15,4,15,3667
16,4,16,2950
17,9,17,3958
18,4,18,1303
19,4,19,3468
20,4,20,5143
21,4,21,2983
22,4,22,4020
23,4,23,1708
24,3,24,3144
25,4,25,4469
26,4,26,4609
27,5,27,1561
28,4,28,3059
29,4,29,3786
30,4,30,1391
31,4,31,4494
32,4,32,4111
33,4,33,2228
34,4,34,2062
35,5,35,3009
36,4,36,0
37,4,37,4702
38,3,38,2240
39,5,39,4857
40,4,40,1964
41,4,41,3114
42,4,42,162
43,4,43,30
44,4,44,3570
45,4,45,4737
46,4,46,394
47,4,47,1285
48,3,48,1191
49,4,49,352
50,4,50,1110
51,4,51,4187
52,4,52,356
53,4,53,4714
54,4,54,1538
55,4,55,3352
56,4,56,4091
57,4,57,4808
58,8,58,1019
59,4,59,990
60,4,60,3180
61,4,61,794
62,4,62,3101
63,4,63,4329
64,4,64,4576
65,4,65,2087
66,4,66,2136
67,4,67,789
68,4,68,3962
69,4,69,2725
70,4,70,438
71,4,71,3657
72,4,72,319
73,4,73,437
74,4,74,1892
75,4,75,162
76,4,76,4142
77,9,77,4149
78,4,78,2256
79,4,79,1367
80,4,80,3450
81,4,81,3931
82,4,82,5036
83,4,83,3120
84,4,84,2388
85,4,85,4953
86,4,86,4844
87,4,87,4458
88,4,88,3848
89,4,89,5054
90,4,90,4630
91,4,91,433
92,6,92,2960
93,7,93,2427
94,4,94,4549
95,4,95,3439
96,4,96,154
97,4,97,1913
98,4,98,646
99,4,99,4239
100,4,100,1964
101,4,101,490
102,4,102,959
103,4,103,316
104,4,104,1605
105,4,105,4349
106,4,106,4037
107,4,107,975
108,4,108,503
109,4,109,4060
110,4,110,3453
111,4,111,2678
112,4,112,4855
113,4,113,2086
114,4,114,1492
115,8,115,3086
116,4,116,254
117,4,117,4955
118,4,118,682
119,4,119,163
120,4,120,4464
121,4,121,4549
122,4,122,503
123,4,123,25
124,4,124,3060
125,4,125,5012
126,4,126,3626
127,4,127,4093
128,4,128,480
129,4,129,2776
130,4,130,2596
131,4,131,4982
132,4,132,3826
133,4,133,308
134,4,134,5191
135,4,135,4175
136,4,136,4308
137,4,137,1844
138,4,138,2315
139,4,139,934
140,4,140,3439
141,4,141,874
142,4,142,417
143,4,143,4378
144,4,144,2428
145,4,145,4787
146,4,146,1122
147,4,147,2900
148,4,148,309
149,5,149,2593
150,4,150,762
151,4,151,5152
152,4,152,303
153,4,153,2017
154,4,154,4876
155,4,155,3440
156,4,156,834
157,8,157,3977
158,4,158,2054
159,4,159,433
160,4,160,3922
161,4,161,5093
162,4,162,3664
163,4,163,808
164,4,164,119
165,4,165,4556
166,4,166,1538
167,4,167,376
168,4,168,3884
169,4,169,3852
170,5,170,518
171,4,171,2579
172,4,172,2631
173,4,173,732
174,4,174,2001
175,4,175,1844
176,4,176,639
177,4,177,578
178,4,178,1513
179,4,179,3922
180,4,180,353
181,4,181,890
182,4,182,1969
183,4,183,1017
184,0,184,184
185,4,185,5096
186,4,186,535
187,5,187,640
188,4,188,4321
189,4,189,3479
190,4,190,4505
191,4,191,1704
192,4,192,5151
193,4,193,2271
194,4,194,2554
195,4,195,4700
196,4,196,834
197,4,197,1500
198,4,198,935
199,5,199,350
200,4,200,526
201,4,201,521
202,4,202,160
203,4,203,3920
204,4,204,1132
205,4,205,3982
206,4,206,3929
207,5,207,3530
208,4,208,4809
209,4,209,1659
210,4,210,1230
