,subcategory,UID
0,杯墊,798
1,串珠材料,86
2,筆記本/手帳,"2083,3230"
3,裙子,"412,3036"
4,貼紙,"381,1076"
5,針織衫/毛衣 (女),3344
6,肩背包/斜背包,15
7,iPhone 週邊,"982,1645,2074"
8,鑰匙圈/鑰匙包,2849
9,皮夾/錢包,62
10,戒指,3587
11,化妝包/雜物包,3098
12,髮飾,"3408,3940"
13,胸針,"498,1614"
14,後背包,"1060,1483"
15,T 恤 (女),4915
16,手鍊/手環,3138
17,零錢包,"3105,3854"
18,束口後背包,"294,342,615,742"
19,媽媽包,4930
20,票夾/隨身夾,4798
21,外套/大衣 (女),4340
22,卡片/明信片,"3422,4151"
23,項鍊/墜子,"234,355,571,840,1019,1663,1992,2533,2555,2630,3016,3844"
24,咖啡杯/馬克杯,1527
25,耳環,1478
26,圍兜/領巾/配件,2155
27,Android 週邊,90
28,手提包,2897
