Product Tag,Values
螢光筆,-8.26536213088e-05
鍊子,-9.0099146294e-05
平安,-0.000290976723398
寬版洋裝,-1.65307242618e-05
hand-painting,-3.81355693922e-05
chris&carey,-0.00029555066279
crossbag,-0.000123940600525
加菲貓,-4.18969698334e-05
設計師款,-0.000247772652308
koneta,-2.86016770442e-05
皮手環,-0.000225247865735
炫光,-1.65307242618e-05
藍銅鑛,-1.90677846961e-05
折疊椅,-1.90677846961e-05
裕子的店,-0.00118697738003
凳子,-0.000123940600525
莓果,-0.000314475468605
wooden,-0.00228370348118
おにぎり,-1.90677846961e-05
玻璃壁飾,-1.65307242618e-05
手工奶嘴鍊,-0.000143008385221
態度,-0.000903559298974
花瓣紙,-0.000136165151959
天然迷你珍珠,-1.65307242618e-05
外套,-0.00586707561019
婚戒,-0.000338879847366
公路,-1.65307242618e-05
葡萄柚,-0.000180198292588
#wood,-0.000440206270957
寵物友善,-8.37939396668e-05
優格,-0.000340159973569
zoeshop*黃銅手工手環,-7.62711387844e-05
波士頓梗犬,-1.90677846961e-05
leathercraft,-5.98023785984e-05
亮橘,-4.18969698334e-05
隨身記事本,-0.000209484849167
china,-3.30614485235e-05
買一買,-2.86016770442e-05
kids,-0.000842301041416
贴纸,-2.47960863926e-05
加購包裝,-3.30614485235e-05
粉紅色,-0.00915948013225
鈦晶、髮晶,-1.90677846961e-05
室內居家裝飾品,-3.81355693922e-05
鹿,-0.00835692901133
golden,-0.000514550079803
耳機捲線器,-3.30614485235e-05
碐角心形,-9.42681821251e-05
集線,-2.86016770442e-05
llano,-0.000137564459674
表現強烈,-4.13268106544e-05
dna,-4.13268106544e-05
手機吊飾,-0.000699260364861
燒瓷杯,-1.65307242618e-05
music,-0.00472492110381
價位｜>2400元內,-0.000146639394417
30年代,-3.30614485235e-05
b011,-2.86016770442e-05
拋光玻璃,-1.90677846961e-05
蜜蜂,-0.000833342832175
冰塊,-3.1422727375e-05
★限量單品★獨一無二★,-2.47960863926e-05
sumi_plus+手作系列。,-0.000184710285058
蛋奶素,-0.000112623932867
湖水藍,-0.000395091146366
locket,-2.47960863926e-05
アート,-0.00051807009119
vintage背心,-1.65307242618e-05
pinto,-1.65307242618e-05
爉印,-3.1422727375e-05
travel,-0.0067419383283
檔案下載,-0.000112623932867
婚禮．wedding,-0.000171610062265
遮陽,-0.000281559832169
木圓筒包,-3.30614485235e-05
jewelry珠寶飾品,-0.000675743597205
享受美食,-2.47960863926e-05
miin,-0.000167446660075
雙面穿,-2.47960863926e-05
行李箱,-0.00117922145798
平板/電腦保護套,-0.000479391003591
dinosaurs,-8.37939396668e-05
wristlet,-3.30614485235e-05
奶茶,-0.000165077351609
贈品,-0.000162936809856
喜馬拉雅,-0.00045918555505
多用,-0.000112623932867
哈姆薩,-9.91843455706e-05
tulip,-2.47960863926e-05
莊鵑瑛,-3.30614485235e-05
膠紙,-4.18969698334e-05
獨一無二．unique,-0.000666559676685
peur,-3.81355693922e-05
真皮手環,-0.000299011892992
