,#R1,#R2,#R3,#R4,#R5
0,0,0,0,0,50
1,0,0,0,4,46
2,0,0,0,1,49
3,0,0,0,3,47
4,0,0,0,3,47
5,0,0,0,2,39
6,0,0,0,0,11
7,0,0,0,1,27
8,0,0,0,3,47
9,0,0,0,3,47
10,0,0,0,3,47
11,0,0,0,1,49
12,0,0,0,3,47
13,0,0,0,3,47
14,0,0,2,0,48
15,0,0,0,3,47
16,0,0,0,1,49
17,0,0,0,1,49
18,0,0,1,1,42
19,0,0,0,1,49
20,0,0,0,0,11
21,0,0,1,2,47
22,0,0,0,3,47
23,0,0,0,3,47
24,0,0,0,3,47
25,0,0,0,1,49
26,0,0,0,0,11
27,0,1,1,6,40
28,0,0,0,1,49
29,0,0,0,6,44
30,0,0,0,4,46
31,1,0,1,4,44
32,0,0,0,1,49
33,0,0,0,0,10
34,0,0,0,3,47
35,0,0,0,2,48
36,0,0,1,2,47
37,0,0,0,1,39
38,0,0,0,0,50
39,0,0,1,5,44
40,0,0,0,3,47
41,0,0,2,1,47
42,0,0,0,0,25
43,0,0,1,2,47
44,0,0,0,2,48
45,0,0,0,1,49
46,0,0,0,1,49
47,0,0,0,3,47
48,0,0,0,0,0
49,0,0,0,5,45
50,0,0,0,0,2
51,0,0,1,2,47
52,0,0,0,0,50
53,0,0,0,1,49
54,0,0,0,3,47
55,0,0,0,3,47
56,0,0,0,3,47
57,0,0,0,2,48
58,0,0,0,1,49
59,0,0,0,1,49
60,0,0,0,4,46
61,0,0,1,5,44
62,0,0,1,5,44
63,0,0,0,6,44
64,0,0,0,1,49
65,0,0,1,2,47
66,0,0,0,0,50
67,0,0,0,0,50
68,0,0,1,4,45
69,0,0,0,0,50
70,0,0,1,2,47
71,0,0,0,5,45
72,2,0,2,3,43
73,0,0,0,3,47
74,0,0,0,0,50
75,0,0,0,4,46
76,0,0,1,2,47
77,0,1,0,3,46
78,0,0,0,1,49
79,0,0,0,1,49
80,0,0,0,0,50
81,0,0,0,0,50
82,0,0,0,0,9
83,0,0,0,0,9
84,0,0,0,4,46
85,0,0,0,3,47
86,1,0,0,3,46
87,0,0,1,2,47
88,0,0,0,4,46
89,0,0,0,3,47
90,0,0,1,5,44
91,0,0,0,1,49
92,0,0,0,1,49
93,0,0,0,0,24
94,0,0,0,3,47
95,0,0,1,1,48
96,0,0,0,0,50
97,0,0,0,2,48
98,0,0,2,1,47
99,0,0,2,1,42
100,0,0,0,0,25
101,0,0,0,1,49
102,0,0,2,5,43
103,0,0,0,0,5
104,0,0,1,2,47
105,0,0,0,1,49
106,0,0,0,1,49
107,0,0,0,0,15
108,0,0,0,0,50
109,0,0,0,0,50
110,0,0,0,3,47
111,0,0,0,2,48
112,0,0,2,0,48
113,0,0,0,0,50
114,1,0,0,0,49
115,0,0,0,6,44
116,0,0,0,0,50
117,0,0,0,0,50
118,0,0,0,2,22
119,0,0,0,3,47
120,0,0,0,0,50
121,0,0,1,2,47
122,0,0,0,0,50
123,0,0,0,1,49
124,0,0,0,4,46
125,0,0,1,2,47
126,0,0,1,2,47
127,0,0,0,3,47
128,0,0,0,0,50
129,0,0,0,0,11
130,0,0,0,0,24
131,0,0,0,2,48
132,0,0,1,1,48
133,0,0,0,6,44
134,0,0,0,6,44
135,0,0,2,1,47
136,0,0,2,2,46
137,0,0,0,1,49
138,0,0,1,2,47
139,0,0,0,0,26
140,0,0,0,0,1
141,0,0,0,1,49
142,0,0,0,1,49
143,0,0,0,3,47
144,0,0,0,0,50
145,0,0,1,5,39
146,0,0,0,3,47
147,0,0,1,4,45
148,0,0,0,3,47
149,0,0,0,1,49
150,0,0,0,2,48
151,0,0,0,1,49
152,0,0,0,2,48
153,0,0,0,4,46
154,0,0,0,3,47
155,0,0,0,2,48
156,0,0,0,3,47
157,0,0,0,2,29
158,0,0,0,3,47
159,0,0,0,0,50
160,0,0,1,2,47
161,0,0,0,1,49
162,0,0,0,1,49
163,0,0,2,1,47
164,0,0,2,1,47
165,0,0,0,1,49
166,0,0,0,5,25
167,0,0,0,0,0
168,0,0,0,4,46
169,0,0,0,0,2
170,0,0,0,0,13
171,0,0,1,0,12
172,0,0,0,0,2
173,0,0,0,2,48
174,0,0,0,3,47
175,0,0,0,3,47
176,0,0,0,3,47
177,0,0,0,0,50
178,0,0,0,1,49
179,0,0,0,3,47
180,0,0,0,5,45
181,0,0,0,0,26
182,0,0,0,1,49
183,0,0,1,1,48
184,0,0,0,1,49
185,0,0,1,3,46
186,0,0,0,2,48
187,0,0,0,2,48
188,0,0,0,0,24
189,0,0,0,1,39
190,0,0,0,0,50
191,0,0,0,5,45
192,0,0,0,5,45
193,0,0,0,1,49
194,0,0,0,2,48
195,0,0,0,3,47
196,0,0,0,1,27
197,0,0,0,5,45
198,0,0,0,7,43
199,0,0,0,0,50
200,0,0,0,0,50
201,0,2,0,9,39
202,0,0,1,5,44
203,0,0,0,1,49
204,0,0,0,3,47
205,0,0,0,1,49
206,0,0,0,0,24
207,0,0,0,3,47
208,0,0,0,3,47
209,0,0,0,2,48
210,0,0,1,2,47
211,0,0,1,4,45
212,0,0,1,3,46
213,0,0,0,1,49
214,0,0,0,2,48
215,0,0,0,3,47
216,0,0,0,0,1
217,0,0,0,1,39
218,0,0,0,0,9
219,1,1,5,5,38
220,0,0,0,0,50
221,0,0,0,2,48
222,1,0,0,6,43
223,0,0,0,2,48
224,0,0,0,0,42
225,0,0,0,1,49
226,0,0,0,1,49
227,0,0,0,1,45
228,0,0,2,4,44
229,0,0,0,0,6
230,0,0,1,2,17
