Product Catgory,Product tag,design house
"肩背包/斜背包 (2),零錢包 (1),筆盒/筆袋 (1),杯墊 (1),家飾/擺飾 (1)","
                        ,handmade, (6),側背袋, (1),公仔, (2),創意, (6),包包, (3),可愛, (6),娃娃, (1),家居用品, (1),布偶, (1),手作, (5),手工, (6),散銀包, (1),文具, (1),杯墊, (1),禮物, (1),筆袋, (2),設計, (5),零錢包, (1),
                    ",siusiukappaegg
手提包 (2),"
                        ,dearbnb, (2),tiffany藍, (2),包包, (2),印花, (1),帆布袋, (2),散步, (2),旅行, (2),春天, (2),束口袋, (2),環保袋, (2),禮物, (2),紀念, (2),購物袋, (2),限量, (2),預購, (2),驚喜, (2),
                    ",dearbnb
"卡片/明信片 (1),筆插/筆筒/筆套 (1),陶器/陶飾 (4),淺碟/盤子/餐盤 (4),DIY 材料包 (3)","
                        ,card, (1),christmas, (1),design, (12),diy, (4),natural系列, (12),postcard, (1),snow, (1),sunmoonlake, (1),xmas, (1),交換禮物, (4),創意, (12),卡片, (1),原住民, (1),可愛, (9),捷運選品, (1),文具用品, (5),日月潭, (1),明信片, (1),木作, (4),梅花鹿, (3),櫻花鉤吻鮭, (1),白雪, (1),白鹿, (1),白鹿傳說, (1),禮品, (12),禮物組合, (5),筆座, (3),簡約, (10),聖誕交換禮物, (1),聖誕卡片, (1),聖誕禮物, (1),聖誕節, (3),臺灣交換禮物, (1),臺灣特有種, (3),臺灣藍鵲, (1),藍鵲, (2),設計, (9),雪白, (1),雪花白, (1),馴鹿, (2),魚, (1),魚類, (1),鳥, (1),鳥類, (1),麋鹿, (1),
                    ",delightful-time
"T 恤 (女) (1),背心 (女) (8),連帽外套/T 恤 (中性) (4),背心 (男) (1),手提包 (6),陶器/陶飾 (29)","
                        ,手作, (49),手工, (49),手染, (20),設計, (20),陶藝, (29),
                    ",yenyen
"肩背包/斜背包 (8),手提包 (2),束口後背包 (1),卡片/明信片 (3),貼紙 (2),DIY 材料包 (34)","
                        ,handmade, (36),動物, (7),包包, (10),娃娃, (6),手作, (43),手工, (40),拼布, (19),文創, (7),明信片, (3),時尚, (11),條紋, (4),海馬, (1),眼鏡盒, (1),紋身, (2),紋身貼紙, (2),縫紉, (24),豬, (2),透視, (1),鄉村, (19),限量款, (36),雜貨, (13),雜貨風, (11),骨頭, (1),鸚鵡, (2),
                    ",patchworkshop
家具 (2),"
                        ,設計, (1),
                    ",seenlongsince2015
"咖啡杯/馬克杯 (1),陶器/陶飾 (2),茶具/茶杯 (1),刀/叉/匙/抹刀 (5)","
                        ,叉子, (1),手作, (9),手工, (9),抹刀, (1),木作, (6),木食器, (3),杯子, (1),湯匙, (4),盤, (2),茶具, (1),茶則, (1),陶器, (3),
                    ",jiranstudio
"筆記本/手帳 (2),杯墊 (1)","
                        ,設計, (3),
                    ",promisewish
"皮夾/錢包 (3),肩背包/斜背包 (2),手提包 (13),零錢包 (3),電腦包 (22),公事包 (1),戒指 (2),鑰匙圈/鑰匙包 (1),護照夾 (17),名片夾 (3),票夾/隨身夾 (1),其他 (1),筆記本/手帳 (33),磁鐵 (3),其他 (1),圍兜/領巾/配件 (3),家飾/擺飾 (48),牆面裝飾/壁貼 (1),版畫 (1),畫框/相框 (1),其他 (14),捲線器/電線收納 (2)","
                        ,baby, (4),上帝。手作。布, (16),不修邊。手記書, (11),小禮物, (9),彼此相愛, (3),愛。永不止息, (2),手縫。皮, (22),擺著看。滑鼠墊, (1),浸禮很合適, (6),無框畫, (19),聖經套, (22),袋, (16),訂製書套, (22),護照套, (19),關於你, (3),電腦包, (23),
                    ",fortressstudio
"裙子 (9),洋裝 (32),襯衫 (女) (20),罩衫 (1),肩背包/斜背包 (6),手提包 (1),晚宴包/手拿包 (3),圍巾/絲巾 (15),手套 (1),腰帶 (2)","
                        ,vintage, (90),人物, (1),刺繡, (1),動物, (7),圓點, (3),圖騰, (26),幾何, (9),復古, (75),晚宴, (4),格紋, (4),森林, (2),百褶, (2),皮革, (8),絲, (3),編織, (3),緹花, (2),繡珠刺繡, (5),腰帶, (1),花朵, (53),蕾絲, (9),長版, (1),限量款, (60),雪紡, (21),領結, (4),風景, (1),
                    ",moment-treasure
